site_code year month day hour minute second latitude longitude altitude_final type_altitude year_end month_end day_end hour_end minute_end second_end
CRV 2019 12 02 23 00 00 64.9863 -147.5980 32 0 2019 12 03 00 00 00
CRV 2019 12 03 23 00 00 64.9863 -147.5980 32 0 2019 12 04 00 00 00
CRV 2019 12 04 23 00 00 64.9863 -147.5980 32 0 2019 12 05 00 00 00
CRV 2019 12 05 23 00 00 64.9863 -147.5980 32 0 2019 12 06 00 00 00
CRV 2019 12 06 23 00 00 64.9863 -147.5980 32 0 2019 12 07 00 00 00
CRV 2019 12 07 23 00 00 64.9863 -147.5980 32 0 2019 12 08 00 00 00
CRV 2019 12 08 23 00 00 64.9863 -147.5980 32 0 2019 12 09 00 00 00
CRV 2019 12 09 23 00 00 64.9863 -147.5980 32 0 2019 12 10 00 00 00
CRV 2019 12 10 23 00 00 64.9863 -147.5980 32 0 2019 12 11 00 00 00
CRV 2019 12 11 23 00 00 64.9863 -147.5980 32 0 2019 12 12 00 00 00
CRV 2019 12 12 23 00 00 64.9863 -147.5980 32 0 2019 12 13 00 00 00
CRV 2019 12 13 23 00 00 64.9863 -147.5980 32 0 2019 12 14 00 00 00
CRV 2019 12 14 23 00 00 64.9863 -147.5980 32 0 2019 12 15 00 00 00
CRV 2019 12 15 23 00 00 64.9863 -147.5980 32 0 2019 12 16 00 00 00
CRV 2019 12 16 23 00 00 64.9863 -147.5980 32 0 2019 12 17 00 00 00
CRV 2019 12 17 23 00 00 64.9863 -147.5980 32 0 2019 12 18 00 00 00
CRV 2019 12 18 23 00 00 64.9863 -147.5980 32 0 2019 12 19 00 00 00
CRV 2019 12 19 23 00 00 64.9863 -147.5980 32 0 2019 12 20 00 00 00
CRV 2019 12 20 23 00 00 64.9863 -147.5980 32 0 2019 12 21 00 00 00
CRV 2019 12 21 23 00 00 64.9863 -147.5980 32 0 2019 12 22 00 00 00
CRV 2019 12 22 23 00 00 64.9863 -147.5980 32 0 2019 12 23 00 00 00
CRV 2019 12 23 23 00 00 64.9863 -147.5980 32 0 2019 12 24 00 00 00
CRV 2019 12 24 23 00 00 64.9863 -147.5980 32 0 2019 12 25 00 00 00
CRV 2019 12 25 23 00 00 64.9863 -147.5980 32 0 2019 12 26 00 00 00
CRV 2019 12 26 23 00 00 64.9863 -147.5980 32 0 2019 12 27 00 00 00
CRV 2019 12 27 23 00 00 64.9863 -147.5980 32 0 2019 12 28 00 00 00
CRV 2019 12 28 23 00 00 64.9863 -147.5980 32 0 2019 12 29 00 00 00
CRV 2019 12 29 23 00 00 64.9863 -147.5980 32 0 2019 12 30 00 00 00
CRV 2019 12 30 23 00 00 64.9863 -147.5980 32 0 2019 12 31 00 00 00
CRV 2019 12 31 23 00 00 64.9863 -147.5980 32 0 2020 01 01 00 00 00
CRV 2020 01 01 23 00 00 64.9863 -147.5980 32 0 2020 01 02 00 00 00
CRV 2020 01 02 23 00 00 64.9863 -147.5980 32 0 2020 01 03 00 00 00
CRV 2020 01 03 23 00 00 64.9863 -147.5980 32 0 2020 01 04 00 00 00
CRV 2020 01 04 23 00 00 64.9863 -147.5980 32 0 2020 01 05 00 00 00
CRV 2020 01 05 23 00 00 64.9863 -147.5980 32 0 2020 01 06 00 00 00
CRV 2020 01 06 23 00 00 64.9863 -147.5980 32 0 2020 01 07 00 00 00
CRV 2020 01 07 23 00 00 64.9863 -147.5980 32 0 2020 01 08 00 00 00
CRV 2020 01 08 23 00 00 64.9863 -147.5980 32 0 2020 01 09 00 00 00
CRV 2020 01 09 23 00 00 64.9863 -147.5980 32 0 2020 01 10 00 00 00
CRV 2020 01 10 23 00 00 64.9863 -147.5980 32 0 2020 01 11 00 00 00
CRV 2020 01 11 23 00 00 64.9863 -147.5980 32 0 2020 01 12 00 00 00
CRV 2020 01 12 23 00 00 64.9863 -147.5980 32 0 2020 01 13 00 00 00
CRV 2020 01 13 23 00 00 64.9863 -147.5980 32 0 2020 01 14 00 00 00
CRV 2020 01 14 23 00 00 64.9863 -147.5980 32 0 2020 01 15 00 00 00
CRV 2020 01 15 23 00 00 64.9863 -147.5980 32 0 2020 01 16 00 00 00
CRV 2020 01 16 23 00 00 64.9863 -147.5980 32 0 2020 01 17 00 00 00
CRV 2020 01 17 23 00 00 64.9863 -147.5980 32 0 2020 01 18 00 00 00
CRV 2020 01 18 23 00 00 64.9863 -147.5980 32 0 2020 01 19 00 00 00
CRV 2020 01 19 23 00 00 64.9863 -147.5980 32 0 2020 01 20 00 00 00
CRV 2020 01 20 23 00 00 64.9863 -147.5980 32 0 2020 01 21 00 00 00
CRV 2020 01 21 23 00 00 64.9863 -147.5980 32 0 2020 01 22 00 00 00
CRV 2020 01 22 23 00 00 64.9863 -147.5980 32 0 2020 01 23 00 00 00
CRV 2020 01 23 23 00 00 64.9863 -147.5980 32 0 2020 01 24 00 00 00
CRV 2020 01 24 23 00 00 64.9863 -147.5980 32 0 2020 01 25 00 00 00
CRV 2020 01 25 23 00 00 64.9863 -147.5980 32 0 2020 01 26 00 00 00
CRV 2020 01 26 23 00 00 64.9863 -147.5980 32 0 2020 01 27 00 00 00
CRV 2020 01 27 23 00 00 64.9863 -147.5980 32 0 2020 01 28 00 00 00
CRV 2020 01 28 23 00 00 64.9863 -147.5980 32 0 2020 01 29 00 00 00
CRV 2020 01 29 23 00 00 64.9863 -147.5980 32 0 2020 01 30 00 00 00
CRV 2020 01 30 23 00 00 64.9863 -147.5980 32 0 2020 01 31 00 00 00
CRV 2020 01 31 23 00 00 64.9863 -147.5980 32 0 2020 02 01 00 00 00
CRV 2020 02 01 23 00 00 64.9863 -147.5980 32 0 2020 02 02 00 00 00
CRV 2020 02 02 23 00 00 64.9863 -147.5980 32 0 2020 02 03 00 00 00
CRV 2020 02 04 23 00 00 64.9863 -147.5980 32 0 2020 02 05 00 00 00
CRV 2020 02 05 23 00 00 64.9863 -147.5980 32 0 2020 02 06 00 00 00
CRV 2020 02 06 23 00 00 64.9863 -147.5980 32 0 2020 02 07 00 00 00
CRV 2020 02 07 23 00 00 64.9863 -147.5980 32 0 2020 02 08 00 00 00
CRV 2020 02 08 23 00 00 64.9863 -147.5980 32 0 2020 02 09 00 00 00
CRV 2020 02 09 23 00 00 64.9863 -147.5980 32 0 2020 02 10 00 00 00
